INFO 2025-06-20 18:26:26,665 autoreload 20387 139711488857280 Watching for file changes with StatReloader
INFO 2025-06-20 18:34:00,131 views 20647 140250068280896 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:34:00,216 basehttp 20647 140250068280896 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:34:00,524 basehttp 20647 140250068280896 "GET / HTTP/1.1" 200 94145
DEBUG 2025-06-20 18:34:00,740 services 20647 140251184907840 ✅ Consulta recibidos completada para chunk 2024-11-28-2025-02-25
DEBUG 2025-06-20 18:34:00,740 services 20647 140251184907840 ✅ Consulta cerrados completada para chunk 2024-11-28-2025-02-25
DEBUG 2025-06-20 18:34:00,755 services 20647 140251184907840 ✅ Consulta sla completada para chunk 2024-11-28-2025-02-25
DEBUG 2025-06-20 18:34:00,756 services 20647 140251184907840 ✅ Consulta reabiertos completada para chunk 2024-11-28-2025-02-25
DEBUG 2025-06-20 18:34:00,780 services 20647 140251211667008 ✅ Consulta recibidos completada para chunk 2024-06-01-2024-08-29
DEBUG 2025-06-20 18:34:00,781 services 20647 140251211667008 ✅ Consulta cerrados completada para chunk 2024-06-01-2024-08-29
DEBUG 2025-06-20 18:34:00,781 services 20647 140251211667008 ✅ Consulta sla completada para chunk 2024-06-01-2024-08-29
DEBUG 2025-06-20 18:34:00,781 services 20647 140251211667008 ✅ Consulta reabiertos completada para chunk 2024-06-01-2024-08-29
DEBUG 2025-06-20 18:34:00,782 services 20647 140251201693248 ✅ Consulta recibidos completada para chunk 2024-08-30-2024-11-27
DEBUG 2025-06-20 18:34:00,782 services 20647 140251201693248 ✅ Consulta cerrados completada para chunk 2024-08-30-2024-11-27
DEBUG 2025-06-20 18:34:00,782 services 20647 140251201693248 ✅ Consulta sla completada para chunk 2024-08-30-2024-11-27
DEBUG 2025-06-20 18:34:00,782 services 20647 140251201693248 ✅ Consulta reabiertos completada para chunk 2024-08-30-2024-11-27
INFO 2025-06-20 18:34:00,783 services 20647 140251220059712 📦 Procesando lote 2/2
INFO 2025-06-20 18:34:00,783 services 20647 140251201693248 🔄 Procesando chunk: 2025-02-26 a 2025-05-26
INFO 2025-06-20 18:34:00,783 services 20647 140251211667008 🔄 Procesando chunk: 2025-05-27 a 2025-06-30
INFO 2025-06-20 18:34:01,155 basehttp 20647 140250068280896 "GET /tecnicos/ HTTP/1.1" 200 11311
DEBUG 2025-06-20 18:34:20,859 services 20647 140251201693248 ✅ Consulta recibidos completada para chunk 2025-02-26-2025-05-26
DEBUG 2025-06-20 18:34:20,876 services 20647 140251211667008 ✅ Consulta recibidos completada para chunk 2025-05-27-2025-06-30
DEBUG 2025-06-20 18:34:20,877 services 20647 140251211667008 ✅ Consulta cerrados completada para chunk 2025-05-27-2025-06-30
DEBUG 2025-06-20 18:34:20,877 services 20647 140251211667008 ✅ Consulta sla completada para chunk 2025-05-27-2025-06-30
DEBUG 2025-06-20 18:34:20,878 services 20647 140251211667008 ✅ Consulta reabiertos completada para chunk 2025-05-27-2025-06-30
DEBUG 2025-06-20 18:34:20,878 services 20647 140251201693248 ✅ Consulta cerrados completada para chunk 2025-02-26-2025-05-26
DEBUG 2025-06-20 18:34:20,878 services 20647 140251201693248 ✅ Consulta sla completada para chunk 2025-02-26-2025-05-26
DEBUG 2025-06-20 18:34:20,878 services 20647 140251201693248 ✅ Consulta reabiertos completada para chunk 2025-02-26-2025-05-26
INFO 2025-06-20 18:34:20,916 services 20647 140251220059712 💾 Resultado guardado en cache por 120 minutos
INFO 2025-06-20 18:34:20,916 services 20647 140251220059712 ✅ Reporte ultra-optimizado completado en 46.32 segundos
INFO 2025-06-20 18:34:20,916 services 20647 140251220059712 📈 Procesados 7 técnicos en 5 chunks
INFO 2025-06-20 18:34:20,916 views 20647 140251220059712 Reporte completado en 46.32 segundos para 7 técnicos
INFO 2025-06-20 18:35:17,317 autoreload 21704 140405411316928 Watching for file changes with StatReloader
INFO 2025-06-20 18:35:20,647 basehttp 21704 140404712322624 "GET / HTTP/1.1" 200 94835
INFO 2025-06-20 18:35:21,228 basehttp 21704 140404712322624 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:35:25,502 views 21704 140404712322624 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:35:25,592 basehttp 21704 140404712322624 "GET /logout/ HTTP/1.1" 302 0
